ATIVIDADE: 13584 | Thopen - Junco 1 - PI | Thopen | Em Aberto | Em Revisão
ATIVIDADE: 13579 | 2C - União 1 - PI | 2C | Em Aberto | Em Processo
ATIVIDADE: 13569 | Thopen - Junco 1 - PI | Thopen | Concluído | Finalizada
ATIVIDADE: 13541 | Thopen - Junco 1 - PI | Thopen | Em Aberto | Em Revisão
ATIVIDADE: 13506 | Thopen - Ipixuna 1 e 2 - PA | Thopen | Em Aberto | Em Revisão
ATIVIDADE: 13499 | Thopen - Junco 1 - PI | Thopen | Concluído | Finalizada
ATIVIDADE: 13598 | 2C - Tupi Paulista 1 e 2 - SP | 2C | Concluído | Finalizada
ATIVIDADE: 13596 | 2C - Ipixuna do Pará 1 - PA | 2C | Concluído | Finalizada
ATIVIDADE: 13616 | 2C - Ipixuna do Pará 1 - PA | 2C | Em Aberto | Em Revisão
ATIVIDADE: 13643 | Greenyellow - Demerval Lobão 1 - PI | Greenyellow | Em Aberto | Em Revisão
ATIVIDADE: 13665 | 2C - Ipixuna do Pará 1 - PA | 2C | Em Aberto | Em Revisão
ATIVIDADE: 13681 | 2C - Tupi Paulista 1 e 2 - SP | 2C | Em Aberto | Em Processo
ATIVIDADE: 13692 | 2C - Ipixuna do Pará 1 - PA | 2C | Em Aberto | Em Processo
ATIVIDADE: 13691 | 2C - Tupi Paulista 1 e 2 - SP | 2C | Em Aberto | Em Processo
ATIVIDADE: 13749 | 2C - Ipixuna do Pará 1 - PA | 2C | Em Aberto | Em Revisão
ATIVIDADE: 13748 | 2C - Ipixuna do Pará 1 - PA | 2C | Em Aberto | Em Revisão
ATIVIDADE: 13747 | 2C - Ipixuna do Pará 1 - PA | 2C | Em Aberto | Em Revisão
ATIVIDADE: 13746 | 2C - Ipixuna do Pará 1 - PA | 2C | Em Aberto | Em Revisão
ATIVIDADE: 13745 | 2C - Ipixuna do Pará 1 - PA | 2C | Em Aberto | Em Revisão
ATIVIDADE: 13744 | 2C - Ipixuna do Pará 1 - PA | 2C | Em Aberto | Em Revisão
ATIVIDADE: 13757 | 2C - Ipixuna do Pará 1 - PA | 2C | Em Aberto | Em Revisão
ATIVIDADE: 13755 | Thopen - Ipixuna 1 e 2 - PA | Thopen | Em Aberto | Em Revisão
ATIVIDADE: 13771 | 2C - União 1 - PI | 2C | Em Aberto | Em Revisão
ATIVIDADE: 13816 | 2C - Ipixuna do Pará 1 - PA | 2C | Cancelado | Cancelada
ATIVIDADE: 13815 | 2C - Ipixuna do Pará 1 - PA | 2C | Cancelado | Cancelada
ATIVIDADE: 13814 | 2C - Ipixuna do Pará 1 - PA | 2C | Cancelado | Cancelada
ATIVIDADE: 13813 | 2C - Ipixuna do Pará 1 - PA | 2C | Cancelado | Cancelada
ATIVIDADE: 13812 | 2C - Ipixuna do Pará 1 - PA | 2C | Cancelado | Cancelada
ATIVIDADE: 13811 | 2C - Ipixuna do Pará 1 - PA | 2C | Cancelado | Cancelada
ATIVIDADE: 13817 | 2C - Ipixuna do Pará 1 - PA | 2C | Em Aberto | Em Revisão
ATIVIDADE: 13830 | 2C - União 1 - PI | 2C | Em Aberto | Em Processo
ATIVIDADE: 13473 | Thopen - Ipixuna 1 e 2 - PA | Thopen | Em Aberto | Em Processo
ATIVIDADE: 13472 | 2C - Tupi Paulista 1 e 2 - SP | 2C | Em Aberto | Em Processo
ATIVIDADE: 13415 | Thopen - Ipixuna 1 e 2 - PA | Thopen | Em Aberto | Em Processo
ATIVIDADE: 13184 | 2C - Tupi Paulista 1 e 2 - SP | 2C | Em Aberto | Em Processo
ATIVIDADE: 12934 | 2C - Ipixuna do Pará 1 - PA | 2C | Em Aberto | Em Processo
ATIVIDADE: 12664 | Greenyellow - Demerval Lobão 1 - PI | Greenyellow | Em Aberto | Em Processo
ATIVIDADE: 12645 | Thopen - Junco 1 - PI | Thopen | Em Aberto | Em Processo
ATIVIDADE: 12494 | Greenyellow - Demerval Lobão 1 - PI | Greenyellow | Em Aberto | Em Processo
ATIVIDADE: 12493 | Greenyellow - Demerval Lobão 1 - PI | Greenyellow | Em Aberto | Em Processo
ATIVIDADE: 9264 | Greenyellow - Demerval Lobão 1 - PI | Greenyellow | Em Aberto | Em Processo
ATIVIDADE: 9010 | Greenyellow - Demerval Lobão 1 - PI | Greenyellow | Em Aberto | Em Processo
ATIVIDADE: 8783 | Greenyellow - Demerval Lobão 1 - PI | Greenyellow | Em Aberto | Em Processo

RESUMO por usina: {'Thopen - Junco 1 - PI': 5, '2C - União 1 - PI': 3, 'Thopen - Ipixuna 1 e 2 - PA': 4, '2C - Tupi Paulista 1 e 2 - SP': 5, '2C - Ipixuna do Pará 1 - PA': 19, 'Greenyellow - Demerval Lobão 1 - PI': 7}
TOTAL atividades no painel: 809
